time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
9.1,19.9439,19.1711,3.31056,0.703355,20.3999,18.7881,3.06374,0.688725,20.3161,18.8095,3.00886,0.702843,20.4063,18.7879,3.07074,0.688603,0.595488,0.246821,0.0146298,0.518927,0.301703,0.000511685,0.600519,0.239824,0.0147523
9.2,20.1964,19.3853,3.11554,0.652869,20.7457,18.7848,3.06282,0.646143,20.6591,18.8069,3.00288,0.659326,20.7521,18.785,3.06735,0.645721,0.813823,0.0527193,0.00672619,0.740657,0.112661,0.00645704,0.817964,0.0481877,0.00714829
9.3,20.4439,19.5745,3.37613,0.627486,21.0062,18.8435,2.94374,0.644809,20.9199,18.8645,2.87996,0.657589,21.0143,18.8437,2.94713,0.643896,0.922255,0.432396,0.017323,0.854825,0.496176,0.0301024,0.927012,0.429002,0.0164096
9.4,20.7172,19.7727,3.44907,0.61381,21.0518,19.3215,3.0085,0.710655,20.9668,19.3459,2.95335,0.725567,21.0578,19.3233,3.01543,0.710813,0.561714,0.440574,0.0968448,0.494492,0.495717,0.111758,0.5639,0.433645,0.097003
9.5,20.9991,19.9714,3.54485,0.603523,21.216,19.8949,3.15677,0.778656,21.135,19.9226,3.11143,0.795352,21.2216,19.8974,3.16742,0.779774,0.229999,0.388084,0.175132,0.144327,0.433416,0.191828,0.234442,0.377432,0.176251
9.6,21.291,20.1726,3.32561,0.665992,21.4263,20.1411,3.22993,0.772858,21.3456,20.1692,3.18575,0.788951,21.4321,20.1435,3.24133,0.773739,0.13885,0.0956812,0.106865,0.054688,0.139866,0.122959,0.144018,0.0842819,0.107747
9.7,21.5525,20.378,3.28984,0.651383,21.9536,20.5246,3.44945,0.765763,21.8724,20.555,3.4076,0.781224,21.9605,20.5262,3.46189,0.766435,0.42705,0.159613,0.11438,0.36559,0.117764,0.129841,0.434097,0.172046,0.115052
9.8,21.8141,20.5775,3.1816,0.607753,22.0332,20.4863,3.32773,0.728632,21.9506,20.5175,3.28051,0.743588,22.0404,20.4902,3.33859,0.729033,0.237254,0.14613,0.12088,0.149097,0.0989022,0.135835,0.242575,0.156989,0.121281
9.9,22.0753,20.7592,3.02541,0.636666,22.6025,20.4246,3.48985,0.622931,22.5123,20.4571,3.43376,0.636038,22.608,20.4283,3.49627,0.622887,0.624419,0.464435,0.0137348,0.53123,0.408349,0.00062814,0.627059,0.470861,0.0137787
10,22.3186,20.939,2.81312,0.606239,22.9212,20.3954,3.46057,0.579822,22.8245,20.4264,3.39517,0.592619,22.9241,20.3993,3.46204,0.579903,0.811574,0.647455,0.0264175,0.720195,0.582056,0.0136207,0.811179,0.648919,0.0263366
10.1,22.5498,21.0993,3.1008,0.63348,23.0175,20.6616,3.38538,0.618684,22.9222,20.6914,3.32212,0.631949,23.0218,20.6657,3.38982,0.618644,0.640617,0.284579,0.0147957,0.552337,0.221319,0.0015302,0.640931,0.289024,0.014836
10.2,22.7997,21.2829,3.3636,0.640234,23.4482,20.9849,3.47798,0.633092,23.3543,21.0175,3.41666,0.646548,23.4538,20.989,3.48327,0.633085,0.713689,0.114376,0.00714216,0.614835,0.0530608,0.00631328,0.717121,0.119669,0.00714921
