time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
1.329,3.52646,-3.29323,2.5215,3.50061,-3.27513,2.54124,3.49992,-3.27462,2.54124,3.5006,-3.27512,2.54124,0.0315647,0.019744,0.0324159,0.019744,0.0315714,0.019744
1.345,3.5246,-3.29101,2.5297,3.49806,-3.27338,2.54124,3.49732,-3.27284,2.54124,3.49806,-3.27338,2.54124,0.0318605,0.011544,0.032777,0.011544,0.0318677,0.011544
1.386,3.52407,-3.29058,2.5303,3.49611,-3.27205,2.54124,3.49533,-3.27148,2.54124,3.49611,-3.27205,2.54124,0.033537,0.010944,0.0345054,0.010944,0.0335446,0.010944
1.416,3.52118,-3.28905,2.5288,3.49498,-3.27127,2.54124,3.49417,-3.27069,2.54124,3.49497,-3.27127,2.54124,0.0316619,0.012444,0.0326615,0.012444,0.0316697,0.012444
1.447,3.51774,-3.28707,2.5238,3.49217,-3.26935,2.54124,3.4913,-3.26872,2.54124,3.49216,-3.26934,2.54124,0.0311102,0.017444,0.0321873,0.017444,0.0311186,0.017444
1.497,3.51731,-3.2867,2.5233,3.49028,-3.26805,2.54124,3.48936,-3.26739,2.54124,3.49027,-3.26805,2.54124,0.0328417,0.017944,0.0339725,0.017944,0.0328504,0.017944
1.528,3.51551,-3.28495,2.5234,3.4892,-3.26732,2.54124,3.48825,-3.26664,2.54124,3.48919,-3.26731,2.54124,0.0316759,0.017844,0.0328376,0.017844,0.0316848,0.017844
1.542,3.51511,-3.28449,2.5246,3.48844,-3.2668,2.54124,3.48748,-3.26611,2.54124,3.48843,-3.26679,2.54124,0.0320006,0.016644,0.033184,0.016644,0.0320096,0.016644
1.558,3.51285,-3.28266,2.5278,3.48634,-3.26536,2.54124,3.48532,-3.26463,2.54124,3.48633,-3.26535,2.54124,0.0316588,0.013444,0.0329033,0.013444,0.0316682,0.013444
1.595,3.51211,-3.28226,2.5269,3.48612,-3.26521,2.54124,3.4851,-3.26448,2.54124,3.48611,-3.2652,2.54124,0.0310782,0.014344,0.0323294,0.014344,0.0310877,0.014344
1.619,3.50924,-3.28077,2.5221,3.48332,-3.26329,2.54124,3.48223,-3.26251,2.54124,3.48331,-3.26328,2.54124,0.0312692,0.019144,0.0326054,0.019144,0.0312791,0.019144
1.669,3.50678,-3.2785,2.524,3.48073,-3.26152,2.54124,3.47957,-3.26069,2.54124,3.48072,-3.26151,2.54124,0.0310959,0.017244,0.0325113,0.017244,0.0311063,0.017244
1.71,3.50652,-3.27813,2.5257,3.4789,-3.26026,2.54124,3.4777,-3.25941,2.54124,3.47889,-3.26026,2.54124,0.0328988,0.015544,0.0343717,0.015544,0.0329094,0.015544
1.74,3.50453,-3.27651,2.5277,3.47771,-3.25945,2.54124,3.47648,-3.25857,2.54124,3.4777,-3.25944,2.54124,0.0317857,0.013544,0.0332958,0.013544,0.0317965,0.013544
1.771,3.50036,-3.27493,2.5211,3.47496,-3.25757,2.54124,3.47366,-3.25664,2.54124,3.47495,-3.25756,2.54124,0.0307596,0.020144,0.0323597,0.020144,0.0307709,0.020144
1.821,3.49868,-3.27253,2.5241,3.47082,-3.25473,2.54124,3.4694,-3.25373,2.54124,3.47081,-3.25473,2.54124,0.0330575,0.017144,0.0347926,0.017144,0.0330694,0.017144
1.883,3.49843,-3.27211,2.5253,3.47066,-3.25462,2.54124,3.46924,-3.25362,2.54124,3.47065,-3.25462,2.54124,0.0328189,0.015944,0.0345592,0.015944,0.0328308,0.015944
1.892,3.49622,-3.27027,2.526,3.46969,-3.25396,2.54124,3.46824,-3.25293,2.54124,3.46968,-3.25395,2.54124,0.0311464,0.015244,0.0329199,0.015244,0.0311585,0.015244
1.973,3.48981,-3.26661,2.5208,3.46389,-3.24999,2.54124,3.46227,-3.24885,2.54124,3.46388,-3.24998,2.54124,0.0307878,0.020444,0.0327724,0.020444,0.0308009,0.020444
2.012,3.48794,-3.26455,2.5222,3.46137,-3.24827,2.54124,3.45967,-3.24707,2.54124,3.46136,-3.24826,2.54124,0.0311577,0.019044,0.0332352,0.019044,0.0311713,0.019044
2.074,3.4874,-3.2641,2.5229,3.45891,-3.24658,2.54124,3.45713,-3.24533,2.54124,3.4589,-3.24657,2.54124,0.0334465,0.018344,0.0356206,0.018344,0.0334605,0.018344
2.135,3.48129,-3.26085,2.5182,3.45591,-3.24453,2.54124,3.45403,-3.24321,2.54124,3.4559,-3.24452,2.54124,0.0301694,0.023044,0.0324654,0.023044,0.030184,0.023044
