time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
271.309,2.75288,1.39763,0.4794,2.53974,1.5738,6.72411,2.26721,1.1551,6.83265,2.54105,1.56665,6.72795,0.276524,0.0384712,0.542855,0.0700626,0.270995,0.0346311
271.36,2.75204,1.39848,0.4487,2.54376,1.57567,6.70342,2.27104,1.15741,6.81195,2.54508,1.56854,6.70726,0.273456,0.0284672,0.538033,0.0800666,0.267868,0.0246271
271.401,2.75308,1.398,0.4156,2.54734,1.57726,6.68511,2.27446,1.15939,6.79364,2.54867,1.57015,6.68895,0.272882,0.0136752,0.534799,0.0948586,0.267245,0.0098351
271.441,2.75412,1.3984,0.398,2.55025,1.57848,6.67038,2.27724,1.16094,6.77892,2.55159,1.57139,6.67422,0.27202,0.0108012,0.532722,0.0977326,0.266357,0.00696108
271.492,2.75669,1.40069,0.3855,2.55441,1.58029,6.67446,2.2812,1.16304,6.75818,2.55566,1.57356,6.68919,0.270507,0.00577806,0.53157,0.0894983,0.26514,0.0205096
271.533,2.75752,1.40108,0.3797,2.55559,1.58078,6.66849,2.28235,1.16363,6.75221,2.55684,1.57406,6.68322,0.270306,0.00560811,0.531201,0.0893283,0.264949,0.0203397
271.543,2.75886,1.40108,0.3661,2.55804,1.58176,6.65616,2.28473,1.16483,6.73988,2.55928,1.57509,6.67089,0.270134,0.00687006,0.529733,0.0905903,0.264784,0.0216016
271.584,2.76055,1.40129,0.3514,2.56162,1.58315,6.63825,2.28821,1.16652,6.72197,2.56285,1.57653,6.65298,0.269528,0.00366003,0.527469,0.0873802,0.264188,0.0183916
271.624,2.76271,1.40262,0.3343,2.56354,1.58385,6.62869,2.29008,1.16739,6.71241,2.56477,1.57727,6.64342,0.269286,0.0112081,0.527929,0.0949283,0.263978,0.0259396
271.655,2.76356,1.40308,0.3264,2.56571,1.58463,6.61795,2.2922,1.16835,6.70167,2.56693,1.57808,6.63268,0.268528,0.00836208,0.526579,0.0920823,0.263228,0.0230936
271.675,2.76502,1.40363,0.3132,2.56893,1.58574,6.60203,2.29534,1.16974,6.68575,2.57015,1.57924,6.61676,0.267608,0.00564209,0.524692,0.0893623,0.262322,0.0203736
271.706,2.7661,1.40399,0.3047,2.57022,1.58616,6.59566,2.29661,1.17028,6.67938,2.57144,1.57969,6.61039,0.267495,0.00777408,0.524441,0.0914943,0.262221,0.0225056
271.736,2.76808,1.40438,0.2916,2.57347,1.58719,6.57974,2.29979,1.17159,6.66346,2.57469,1.58077,6.59447,0.267011,0.0049541,0.522961,0.0886743,0.261754,0.0196856
